Index;"Assert Error Label";ReachabilityResult;Confidence
1;error_20;NO;9
2;error_47;NO;9
3;error_32;NO;9
4;error_37;NO;9
5;error_56;NO;9
6;error_33;NO;9
7;error_57;NO;9
8;error_50;NO;9
9;error_35;NO;9
10;error_15;NO;9
11;error_38;NO;9
12;error_21;NO;9
13;error_44;NO;9
14;error_41;NO;9
15;error_19;NO;9
16;error_40;NO;9
17;error_27;NO;9
18;error_59;NO;9
19;error_2;NO;9
20;error_1;NO;9
21;error_31;NO;9
22;error_28;NO;9
23;error_5;NO;9
24;error_23;NO;9
25;error_4;NO;9
26;globalError;YES;9
27;error_24;NO;9
28;error_58;NO;9
29;error_18;NO;9
30;error_29;NO;9
31;error_36;NO;9
32;error_26;NO;9
33;error_7;NO;9
34;error_34;NO;9
35;error_51;NO;9
36;error_49;NO;9
37;error_0;NO;9
38;error_11;NO;9
39;error_10;NO;9
40;error_55;NO;9
41;error_46;NO;9
42;error_8;NO;9
43;error_53;NO;9
44;error_42;NO;9
45;error_17;NO;9
46;error_45;NO;9
47;error_9;NO;9
48;error_25;NO;9
49;error_12;NO;9
50;error_48;NO;9
51;error_54;NO;9
52;error_13;NO;9
53;error_6;NO;9
54;error_30;NO;9
55;error_52;NO;9
56;error_22;NO;9
57;error_43;NO;9
58;error_3;NO;9
59;error_16;NO;9
60;error_14;NO;9
61;error_39;NO;9
